4001 Atlanta Chicago 1683018000 199.0 10
4002 Chicago Atlanta 1683108000 199.0 10
4003 Tokyo Shanghai 1683198000 199.0 15
4004 Tokyo Shanghai 1683288000 199.0 15
4005 Shanghai Tokyo 1683378000 199.0 15
4006 Shanghai Tokyo 1683468000 199.0 15
4007 Beijing Singapore 1683558000 299.0 30
4008 Beijing Singapore 1683648000 299.0 30
4009 Singapore Beijing 1683738000 299.0 30
4010 Singapore Beijing 1683828000 299.0 30
4011 LosAngeles Paris 1683918000 399.0 20
4012 LosAngeles Paris 1684008000 399.0 20
4013 LosAngeles Paris 1684098000 399.0 20
4014 Paris LosAngeles 1684188000 399.0 20
4015 Paris LosAngeles 1684278000 399.0 20
4016 Paris LosAngeles 1684368000 399.0 20
4017 London NewYork 1684458000 499.0 15
4018 London NewYork 1684548000 499.0 15
4019 London NewYork 1684638000 499.0 15
4020 London NewYork 1684728000 499.0 15
4021 NewYork London 1684818000 499.0 15
4022 NewYork London 1684908000 499.0 15
4023 NewYork London 1684998000 499.0 15
4024 NewYork London 1685088000 499.0 15
